Code,Measurement,Reference
AA,Breadth between the borders of the acetabula,Von den Driesch 1976 p. 123
B,"Breadth in middle of diaphysis, pig metapodial",Driesch 1976 p95
B@F,"Maximum breadth distal fusion point, metapodial",Davis 1992 p14
BF,Breadth facies articularis basalis,Driesch 1976 p113
BFd,Greatest breadth of facies articularis distalis,"Driesch 1976 pp79, 89, 97"
BFdl,Breadth of lateral condyle metapodial,"Payne 1969 p296, Davis 1992 p14"
BFdm,Breadth of medial condyle metapodial,"Payne 1969 p296, Davis 1992 p14"
BFp,Greatest breadth of facies articularis proximalis,"Driesch 1976 pp79, 97"
BG,Breadth of glenoid cavity,Driesch 1976 p75
BPC,Greatest breadth across the coronoid process,Von den Driesch 1976 p. 79
BT,Breadth of trochlea,"Driesch 1976 p77, Payne & Bull 1988 p42"
Bb,Greatest basal breadth,Driesch 1976 p113
Bd,Greatest breadth of distal end,"Driesch 1976 pp75, 79, 85, 87, 89, 93, 117, 119, 125-129"
Bp,Greatest breadth of proximal end,"Driesch 1976 pp77, 79, 85, 87, 93, 97,117-121,125,129"
CB,Cranial breadth,Von den Driesch 1976 p. 123
CD,Smallest circumference of diaphysis,Driesch 1976 p93
DC,Greatest depth of caput femoris,Driesch 1976 p85
DD,Smallest depth of the diaphysis,Von den Driesch 1976 p. 93
DHA,Diagonal height of scapula,Driesch 1976 p75
DPA,Depth across the Processus anconaeus,Von den Driesch 1976 p. 79
Dd,Greatest depth of the distal end,"Driesch 1976 p93,125,127"
Ddl,Depth of lateral condyle of metapodial,Davis 1992 p14
Ddm,Depth of medial condyle of metapodial,Davis 1992 p14
DiA,Diameter of the acetabulum,Von den Driesch 1976 p. 123
Dic,Greatest cranial diagonal,Driesch 1976 p115
Did,Greatest diagonal of the distal end,"Driesch 1976 p119, 121"
Dip,Greatest diagonal of proximal end,"Driesch 1976 p119, 127"
Dl,Greatest depth lateral half of astragalus,Driesch 1976 p89
Dm,Greatest depth medial,Von den Driesch 1976 p. 89
Dp,Greatest depth proximal end,"Driesch 1976 p93, 125"
GB,Greatest breadth of calcaneum,Driesch 1976 p91
GBA,Greatest breadth across the acetabula,Driesch 1976 p83
GH,Greatest height - horse astragalus,Driesch 1976 p89
GL,Greatest length,"Driesch 1976 pp77, 79, 83, 85, 87, 91, 93,113-121,125-129"
GLC,Greatest length from caput femoris,Driesch 1976 p85
GLP,Greatest length of glenoid process,Driesch 1976 p75
GLl,Greatest length of lateral half of astragalus,Driesch 1976 p89
GLm,Greatest length of medial half of astragalus,Driesch 1976 p89
GLpe,Greatest length of peripheral half,Driesch 1976 p97
H1,Height of the medial wall of the acetabulum at the ilio-pubic juncture,Greenfield 2005 p. 73
HS,Height along the spine,Driesch 1976 p75
HT,Height of the distal trochlea,Jones et al 1978 p110: meas 10
HTC,Narrowest diameter of the distal trochlea,Payne & Bull 1988 p40
L,Carpometacarpus,Length of the metacarpus II
LA,Length of acetabulum including lip,Driesch 1976 p83
LAR,Length of acetabulum on rim,Driesch 1976 p83
