,BONEID,MEASURE,MEASTYPE,PERIOD,RANGE,Unnamed: 0,ELEMENT
150,ABMAP14061,63.4,LG,Medieval,1300 -- 1499,2440.0,Scapula
154,ABMAP14076,60.5,LG,Medieval,1300 -- 1499,2453.0,Scapula
158,ABMAP14082,53.7,LG,Medieval,1300 -- 1499,2457.0,Scapula
161,ABMAP10071,57.3,LG,Roman - Saxon,650 -- 950,2491.0,Scapula
165,ABMAP15708,46.1,LG,Bronze - Iron Age,-400 -- -100,2530.0,Scapula
168,ABMAP16097,48.0,LG,Bronze - Iron Age,-400 -- -100,2601.0,Scapula
171,ABMAP15785,50.1,LG,Bronze - Iron Age,-400 -- -100,2644.0,Scapula
174,ABMAP15786,51.9,LG,Bronze - Iron Age,-400 -- -100,2647.0,Scapula
178,ABMAP16233,53.3,LG,Bronze - Iron Age,-400 -- -100,2677.0,Scapula
181,ABMAP16226,51.5,LG,Bronze - Iron Age,-400 -- -100,2687.0,Scapula
184,ABMAP16114,54.3,LG,Bronze - Iron Age,-400 -- -100,2727.0,Scapula
188,ABMAP334,45.4,LG,Bronze - Iron Age,-199 -- 0,2781.0,Scapula
190,ABMAP14458,54.0,LG,Roman - Saxon,43 -- 410,2986.0,Scapula
194,ABMAP14381,46.5,LG,Roman - Saxon,43 -- 410,3007.0,Scapula
4,ABMAP15381,51.8,SLC,Roman - Saxon,43 -- 410,90.0,Scapula
8,ABMAP60,50.0,SLC,Roman - Saxon,775 -- 800,153.0,Scapula
11,ABMAP58,71.0,SLC,Roman - Saxon,775 -- 800,175.0,Scapula
12,ABMAP59,71.3,SLC,Roman - Saxon,775 -- 800,176.0,Scapula
14,ABMAP17110,54.3,SLC,Bronze - Iron Age,-99 -- 99,225.0,Scapula
18,ABMAP17096,60.3,SLC,Bronze - Iron Age,-99 -- 99,231.0,Scapula
22,ABMAP2962,60.5,SLC,Roman - Saxon,900 -- 999,585.0,Scapula
26,ABMAP2963,63.2,SLC,Roman - Saxon,900 -- 999,669.0,Scapula
30,ABMAP475,66.6,SLC,Bronze - Iron Age,-100 -- -43,770.0,Scapula
34,ABMAP521,66.5,SLC,Bronze - Iron Age,-100 -- -43,822.0,Scapula
35,ABMAP537,61.2,SLC,Bronze - Iron Age,-100 -- -43,868.0,Scapula
39,ABMAP21043,72.5,SLC,Medieval,1066 -- 1540,901.0,Scapula
40,ABMAP29016,53.3,SLC,Medieval,1250 -- 1400,930.0,Scapula
41,ABMAP29189,60.9,SLC,Medieval,1100 -- 1250,977.0,Scapula
42,ABMAP29261,50.0,SLC,Medieval,1300 -- 1450,1024.0,Scapula
43,ABMAP29278,47.9,SLC,Medieval,1300 -- 1450,1037.0,Scapula
44,ABMAP29299,44.5,SLC,Medieval,1250 -- 1400,1049.0,Scapula
45,ABMAP29319,60.1,SLC,Medieval,1250 -- 1400,1070.0,Scapula
46,ABMAP29406,52.0,SLC,Medieval,1450 -- 1800,1116.0,Scapula
47,ABMAP29427,61.2,SLC,Medieval,1100 -- 1250,1123.0,Scapula
48,ABMAP29520,54.0,SLC,Roman - Saxon,950 -- 1100,1148.0,Scapula
49,ABMAP28797,48.9,SLC,Medieval,1250 -- 1400,1181.0,Scapula
50,ABMAP28675,55.5,SLC,Medieval,1300 -- 1450,1194.0,Scapula
51,ABMAP28761,60.1,SLC,Medieval,1250 -- 1400,1218.0,Scapula
52,ABMAP28884,55.8,SLC,Medieval,1250 -- 1400,1318.0,Scapula
56,ABMAP18119,71.5,SLC,Medieval,1600 -- 1799,1358.0,Scapula
57,ABMAP16612,53.0,SLC,Medieval,1367 -- 1499,1382.0,Scapula
60,ABMAP16613,55.5,SLC,Medieval,1033 -- 1199,1388.0,Scapula
63,ABMAP16615,47.1,SLC,Medieval,1167 -- 1399,1473.0,Scapula
66,ABMAP16610,55.3,SLC,Medieval,1167 -- 1399,1476.0,Scapula
68,ABMAP16611,56.5,SLC,Medieval,1167 -- 1399,1494.0,Scapula
72,ABMAP3274,68.5,SLC,Roman - Saxon,400 -- 1066,1612.0,Scapula
76,ABMAP1926,59.8,SLC,Roman - Saxon,43 -- 410,1653.0,Scapula
83,ABMAP28118,56.9,SLC,Roman - Saxon,800 -- 1066,1703.0,Scapula
84,ABMAP28030,46.1,SLC,Roman - Saxon,800 -- 1066,1707.0,Scapula
88,ABMAP28085,59.7,SLC,Roman - Saxon,800 -- 1066,1712.0,Scapula
92,ABMAP18516,52.2,SLC,Bronze - Iron Age,-1000 -- -400,1743.0,Scapula
96,ABMAP27806,55.7,SLC,Roman - Saxon,950 -- 980,1806.0,Scapula
